FILENAME,ID,TRANSCRIPT,large-v2
P013_JIRB_NEUTRO_LIBRE,P013_JIRB,"Bueno Alberto tenía ganas de pasar una una noche, una velada buena, entonces estaba buscando un sitio, encontró un sitio que era muy muy informal, como una especie de discoteca y encontró que la gente estaba divirtiéndose,  encontró a un tipo muy ocurrente, Mario. Alberto se llamaba el tipo que iba a parrandear; Mario estaba contando chistes y la gente se reía mucho con la gente, con el chistes de él, hasta que encontr vio entre la genta a Elsa que era la novia, entonces se acercó a ella y la invitó a a oír música y luego la invitó a bailar; como la novia ya estaba cansada decidieron irse para la casa cuando salían, iban a coger el transporte se encontró que había dejado la la cartera, entonces él se devolvió y la recogió, se la  entregó y volvieron los dos después de pasar bastante amena entre entre ellos dos y la gente que los acompañaba. Más o menos es lo… "," El texto neutro JIRB, cuénteme sus palabras que recuerda del texto. El texto neutro JIRB, cuénteme sus palabras que recuerda del texto neutro JIRB, cuénteme sus palabras que recuerda del texto neutro JIRB, cuénteme sus palabras que recuerda del texto neutro JIRB, cuénteme sus palabras que recuerda del texto neutro JIRB, cuénteme sus palabras que recuerda del texto neutro JIRB, cuénteme sus palabras que recuerda del texto neutro JIRB, cuénteme sus palabras que recuerda del texto neutro JIRB, cuénteme sus palabras que recuerda del texto neutro JIRB, cuénteme sus palabras que recuerda del texto neutro JIRB, cuénteme sus palabras que recuerda del texto neutro JIRB, cuénteme sus palabras que recuerda del texto neutro JIRB, cuénteme sus palabras que recuerda del texto neutro JIRB, cuénteme sus palabras que recuerda del texto neutro JIRB, cuénteme sus palabras que recuer cual que mehr y que iraan tirando so no chicau"
P014_ACE_NEUTRO_LIBRE,P014_ACE,"Bueno, Alberto estaba pues contento por el fin de semana, los amigo lo esperaban cerca y para pues como irse a parrandear a una discoteca que tenía como nombre ni jefe ni ni ni jefe ni, ni trabajo ni jefe; en la discoteca estaba el amigo Mario con unas muchachas y entre ellas estaba la novia que el nombre era Elsa. Elsa estaba como cansada pero Alberto le pidió que lo acompañara, se entusiasmó mucho con la música y salieron como a bailar, Elsa dejó el bolso en la silla y y se fueron pues a bailar. Después regresaron a casa y ma y Alberto llegó cansado y se quedó dormido. "," Bueno, Alberto estaba pues contento por el fin de semana, los amigos lo esperaban cerca y para pues como dicen a parrandear a una discoteca que tenía como nombre ni jefe, ni jefe, ni trabajo, ni jefe. En la discoteca estaba el amigo Mario con una de las muchachas y entre ellas estaba la novia, el nombre era Elsa. Elsa estaba como cansada pero Alberto le pidió que lo acompañara, se entusiasmó mucho con la música y salieron como a bailar. Elsa dejó el bolso en la silla y se fueron pues a bailar. Después regresaron a casa y Alberto llegó cansado y se quedó dormido."
P015_FAOH_NEUTRO_LIBRE,P015_FAOH,"Bueno, resulta que salió Alberto al trabajo y se puso muy contento porque vio una discoteca por ahí a su alrededor, entonces se se animó, se le olvidó que tenía que marcar tarjeta, y todo del trabajo y todo entonces que lo estaban esperando unos amigos allá en la discoteca y entonces resulta que él se animó y entró a la discoteca. Y por allá en alguna parte de atrás vio a la, a su, a la, a la novia que se llamaba Elsa, entonces se encontró con ella y le dijo de que de que entraran pues a la discoteca un rato, entonces la la Elsa le comentó de que tenía sueño de que estaba cansada y él le comentó de que de que se animara que se quedara otro rato; después de tanta y tanta cuestión él le dijo de que, ella le dijo que bueno, que se quedaba; y de pronto sonó una canción que le gustaba mucho a Alberto, entonces Elsa empezó a cantarla con él con él y en medio de eso a Elsa se le quedó la cartera en la silla de él, hasta que terminaron ahí festejando, todo muy bien. "," Listo, puede comenzar. Bueno, resulta que salió Alberto al trabajo y se puso muy contento porque vio una discoteca por ahí a su alrededor. Entonces, se animó, se olvidó que tenía que marcar tarjeta, se olvidó de todo el trabajo y todo, entonces lo estaban esperando como unos amigos en la discoteca. Entonces, resulta que se animó y entró a la discoteca y para una parte de atrás vio a la novia que llamaba Elsa. Entonces, se reencontró con ella y le dijo que quedaran para la discoteca un rato. Entonces, Elsa le comentó que tenía sueño, que estaba cansada y él le comentó que se animara y que se quedara otro rato. Después de tanta rueda y tanta cuestión, ella le dijo que bueno, que se quedaba. Y pronto sonó una canción que le gustaba mucho a Alberto. Entonces, Elsa empezó a cantarla con él. Y en medio de sus cosas, a Elsa le quedó la cartera en la silla. Entonces, te vas a ver que terminaron ahí festejando todo muy bien. Subtítulos realizados por la comunidad de Amara.org"
P016_LFLS_NEUTRO_LIBRE,P016_LFLS,"Que que Alberto salió en sus, salió dijo, salió de. Bueno que Alberto salió de, salió de su casa, perdón de la discoteca y que en el camino pensó: gracias a dios es fin de semana y y pidió en un cartel que decía: gracias a dios por… que ni jefe ni reloj. Entonces en el camino se encontró, se fue pues para la discoteca y se encontró con unos amigos, entró en la discoteca y y sintió mucho calor y mucho sudor entonces salió y volvió y encontró y vio a su novia que lo esperaba en una silla en la parte de atrás, y que ella tenía sueño ya y que entonces que él le dijo que la que la acompañara que estaba buena la música entonces ella se puso a bailar con él y ella dejó la cartera en el sillón. Y ya no me recuerdo más. No, ya. ", que y que alberto salió salió salió de lo que alberto salió de salió de su casa la discoteca y que en el camino pensó gracias a dios en el fin de semana y un cartel que decía gracias a dios por que ni jefe ni reloj entonces en el camino se encontró se fue pues para la discoteca y se encontró con unos amigos entró a la discoteca y y sentió mucho calor mucho sudor y entonces salió y entró y a su novia que la esperaba en una silla la parte de atrás y que ya tenía sueños ya y que entonces que él le dijo que la que la acompañaba que estaban a la música entonces ella se puso a bailar con él y ella dejó la cartera en el sillón ya no me recuerdo más noche
P017_RAL_NEUTRO_LIBRE,P017_RAL,"Era fin de semana y Alberto estaba muy eufórico, porque ya era el fin de semana y estaba invitado a una discoteca que había vecina a su casa y que tenía el nombre: ni jefe ni reloj, que le gustaba mucho ese nombre porque ya iba a descansar de él, del jefe y del reloj para marcar tarjeta. Entonces llegó a la discoteca, estaban en medio de la música, estaba encandilado, se entró encandilado por las luces y se vio allá al fondo unos amigos de él que lo estaban esperando que estaban hablando con unas muchachas. El amigo se llamaba Mario, y las muchachas entretenidas con Mario muy contentas con las historias que le estaban contando. Y a lo lejos divisó a a la novia que lo estaba esperando sentada en una silla, ella, él la invitó a a que conversaran y a que bailaran, y ella le ayudaba a a cantar la música que estaban escuchando, él le pregunto si le gustaba esa música y a ella le dijo que sí. Ya a rato salieron y él se fue todo sudoroso y cansado para la casa y se quedó dormido. "," Era fin de semana y Alberto estaba muy eufórico porque ya era el fin de semana y estaba invitado a una discoteca que había vecina en su casa y que tenía el nombre ni jefe ni reloj, que le gustaba mucho ese nombre porque ya iba a descansar del jefe y del reloj para marcar tarjeta. Entonces llegó a la discoteca, estaban en medio de la música, estaba encandilado, se entró encandilado por las luces y vio allá al fondo unos amigos de él que lo estaban esperando, que estaban hablando con unas muchachas. El amigo se llamaba Mario y estaban muchas entretenidas con Mario, muy contentas con las historias que le estaban contando y a lo lejos divisó a la novia que lo estaba esperando sentada en una silla. Él la invitó a que conversaran y a que bailaran y ella le ayudaba a cantar la música que estaban escuchando y a ella le dijo que sí. Ya al rato salieron y él se fue todo sudoroso y cansado para la casa y se quedó a dormir."
P018_MMCM_NEUTRO_LIBRE,P018_MMCM,"Bueno, Alberto estaba muy feliz porque había llegado el fin de semana se dirigía a, a unas pocas cuadras había una discoteca que nombre era ni jefe ni reloj, allí había mucha bulla, música y él se sintió como sudorosos como con calor; se encontró con su amigo Mario y en la barra habían mujeres pues ahí departiendo. De allí localizó a su novia Elsa, se le acercó y le dijo que fueran a la a bailar, a la pista entonces ella ella no quería, y al fin pues se pararon  y dejó su cartera ahí en la mesa. Luego se fueron para la casa y con el sudor y el cansancio se quedó dormido. "," Bueno Alberto estaba muy feliz porque había llegado el fin de semana, se dirigía a unas pocas cuadras había una discoteca que el nombre era ni jefe ni reloj, allí había mucha bulla, música y él se sintió como sudoroso, como con calor, se encontró con su amigo Mario y en la barra habían varias mujeres pues ahí departiendo, de allí localizó a su novia Elsa, se le acercó y le dijo que fueran a bailar a la pista, entonces ella no quería y al fin se pararon y dejó su cartera allí en la mesa. Luego se fueron para la casa y con el sudor y el cansancio se quedó dormido."
P019_EAS_NEUTRO_LIBRE,P019_EAS,"Bueno. Alberto, Alberto y Elsa eran muy buenos amigos y se encontraban en los fines de semana para ir para ir a una discoteca. Y Elsa como buena como buena amiga lo lo lo acompañaba y y ella como que se le perdió la la la cartera, dejó la cartera en la silla y se fueron para la casa y él se quedó dormido. No. ",
P020_LARR_NEUTRO_LIBRE,P020_LARR,"Era un hombre que era muy optimista en la semana, en los fines de semana le gustaba salir  a la a a distraerse a la discoteca a… se encontró con un, llegó a una discoteca, se encontró a una cantidad de mujeres él se entretuvo se entró a la discoteca. Luego se acordó de su novia Celsa, la la invitó si quería acompañarlo, ella le dio que tenía mucho sueño quería que estaba cansada, luego siempre se decidió, se sentó en la silla él se animó, le dijo que si le gustaba la música, la ella le dijo: por supuesto. Luego le la invitó a salir, ella estaba cansada y de tanto insistir siempre le le salió y se acordó que que en la silla dejó se le quedó la cartera, pero ella siempre leal no le importó y se siguió con él. En el momento salió el disco que le gustaba a él, la sacó a bailar y luego… bueno, ya no me ya no me acuerdo. No, no me acuerdo ya de más. "," El hombre que era muy optimista, en la semana, en los fines de semana le gustaba salir a la discoteca, se encontró, llegó a una discoteca, se encontró una cantidad de mujeres, él se entretuvo, se engrió, entró a la discoteca, luego se acordó de su novia, Celsa, la invitó, si quería acompañarlo, ella le dijo que tenía mucho sueño, que estaba cansada, luego siempre se decidió, se sentó en la silla, él se animó, le dijo que si le gustaba la música, le dijo por supuesto, luego la invitó a salir, ella estaba cansada, y de tanto insistir, siempre le salió, y se acordó que en la silla dejó, se le quedó la cartera, pero ella siempre leal, no le importó, y siguió con él, en el momento, salió el disco que le gustaba a él, la sacó a bailar, y luego... Ya no me acuerdo... Ya no me acuerdo... No, no me acuerdo ya de más..."
P021_LAHV_NEUTRO_LIBRE,P021_LAHV,"Era un fin de semana, Alberto se dirigía a la discoteca y allí se encontró con con el nombre de la discoteca que se llamaba ni jefe ni reloj, y y allí se encontró unas muchachas que aplaudían las ocurrencias de Mario, uno de los amigos de Alberto. Y allí encontró a vio a su novia sentada en una silla, la invitó a la la pista a bailar y pidió su disco preferido, y Elsa envolvió el bolso en la silla y allí se quedó dormido. "," Era un fin de semana, Alberto se dirigía a la discoteca y allí se encontró con el nombre de la discoteca que se llamaba Mi Jefe Ni Reloj y allí se encontró unas muchachas que aplaudían las ocurrencias de Mario, uno de los amigos de Alberto y allí encontró a su novia sentada en una silla, la invitó a la pista a bailar y pidió su disco preferido y el sábado envolvió el bolso en la silla y allí se quedó dormido."
P023_JJEV_NEUTRO_LIBRE,P023_JJEV,"Bueno, cuando comenzaba la noche, se fueron a a uno fiesta y y Elsa. Fueron a un bar que se llama, se llama sol y sol y sombra, una cosa así; y fueron allá y estuvieron gozando, estuvieron y luego Elsa tomó el bolso y lo dejó sobre una silla y lo dejó sobre una silla… y y ¿será que se quedó dormida? dios santo doctora. No no recuerdo más. "," Bueno, cuando comenzaba la noche se fueron a una fiesta y Elsa, fueron a un bar que se llama Sol y Sombra, ¿no? Y fueron allá y estuvieron gozando, estuvieron... Y luego Elsa tomó el bolso y lo llevó sobre una silla y... sobre una silla... Y se quedó dormida. Ay, me agradece, Dios santo, doctora."
P024_EAAL_NEUTRO_LIBRE,P024_EAAL,"¿Ya? Que, ah se me olvidó el nombre del muchacho, como sea, que el joven se fue muy eufórico se fue a encontrarse con unos amigos y llegó al a la ¿así está bien? ¿así? y llegó a la parte donde se encontraban, que ellos lo esperaban, que sin jefe ni reloj ni nada encontraba. Entonces miró hacia dentro y vio a un grupo de de jóvenes que se encontraba con ella y él como como aturdido porque estaba ¿cómo cómo se llama? De las las luces lo tenía como ¿cómo se dice eso? lo tenían encandilado con las luces, pero si vio un poco de muchachas y se reía y él se entretenía y entre ellas encontró que estaba su novia, él la invitó al baile a la pista de baile y a ella se le olvidó la cartera y no sé, de pronto siguió con él muy entretenida y y bailaron y escucharon la canción, ella le recordaba su canción que le gustaba mucho a él. Entonces terminaron el baile y luego se fue a su casa, se fueron y y ¿cómo fue? Ya ya él se olvidó de todo eso, se acostó y se quedaron dormido. "," ya, que, ah, se me olvidó el nombre del muchacho, como sé que el joven se fue muy eufórico, se fue a encontrarse con unos amigos y llegó a la, sí está bien, así, y llegó a la parte donde se encontraban que ellos lo esperaban, que ni jefe, ni reloj, ni nada, encontraba, entonces miró hacia adentro y vio un grupo de jóvenes que se encontraba con ellas y él como aturdido, porque estaba, eh, como, como se llama, de la luz y lo tenían como, como se le dice eso, lo tenían encandelillado con las luces, pero sí vio un poco de muchachas y se reían y se entretenía, entre ellas encontró que ahí estaba su novia, él la invitó al baile, a la pista de baile y a ella se le olvidó la cartera y no sé, de todo pronto siguió con él, muy entretenida, y bailaron y escucharon la canción, ella le recordaba su canción que le gustaba mucho a él, entonces terminaron el baile y luego se fue a su casa, se fueron y, y como fue ya, ya él se olvidó de todo eso, entonces ella se quedó, ella acostó, ella quedó dormida."
P025_ED_NEUTRO_LIBRE,P025_ED,"Berto, ah, todavía no. Bueno, Alberto, ay ya se me olvidó el nombre, ya se me olvidó no ve. Alberto iba para la para la discoteca que gra pues a ver, era un ¿cómo era? Que era fin de sem como un fin de semana y él daba gracias a dios cuando era el fin de semana, fue a la discoteca y allí encontró varios. Ah no, la discoteca se llamaba sin sin ni jefe ni ley ¿ni qué? Ni reloj. Entonces ¿cómo es? Él se encontró con unos amigos y empezaron a charlar, luego se encontró con con la novia y entonces él la, estaba conversando con, pues fue, ellas estaban conversando con un amigo que se llamaba, ¿ah o era Mario?  Bueno, entonces él llegó e invitó la novia a bailar. ¿Me estoy saltando mucho? No. A bailar, y ella ten, ella tenía mucho sueño pero sin embargo se fue, dejó su bolso en una silla y se fue a a bailar con él; y bailaron y pasaron una noche pues muy divertida y cuando ya se fueron a la casa el estaba muy muy cansado. ¿Qué más? "," Alberto, no, todavía no. Listo ya. Bueno, Alberto, ya se me olvidó, ya se me olvidó, no ve. Alberto iba para la discoteca, que era un, como era, que era como un fin de semana, y él daba gracias a Dios. Cuando era el fin de semana, fue a la discoteca, y allí encontró varios a Anovi. La discoteca se llamaba Sin Jefe Ni Reloj. Entonces, él se encontró con unos amigos y empezaron a charlar. Luego se encontró con Anovi, y entonces él estaba conversando con, pues ellas estaban conversando con un amigo que se llamaba ahora Mario. Bueno, entonces él llegó e invitó a Anovi a bailar. Me estoy saltando mucho, ¿no? A bailar, y ella, ella tenía mucho sueño, pero sin embargo se fue, dejó su bolso en una silla y se fue a bailar con él. Y bailaron, y pasaron una noche, pues, muy divertida. Y cuando ya se fueron a la casa, él estaba muy, muy cansado. ¿Qué más?"
P026_JFCC_NEUTRO_LIBRE,P026_JFCC,"Mario perdón Alberto est estaba feliz por el fin de semana que había llegado y se se pensaba pues disfrutar e irse para una discoteca donde lo estaban esperando unos amigos, allí estaba Mario que estaba hablando con unas amigas de él y cont inventando personajes. También encontró allí a su novia, Elsa, y le le dijo que si le gustaba la música y la invitó a bailar, ella lo acompañó a bailar y y le le recordaba e e ese disco que tanto le gustaba a él. Luego él, ya a Elsa se le olvidó la cartera en el en la silla, y bailaron y luego ya al final él él ya en la casa se, con sudo se acuesta dormir. "," Mario, perdón Alberto, estaba feliz por el fin de semana que había llegado y se pensaba pues disfrutar y se para a una discoteca donde lo están esperando unos amigos. Allí estaba Mario que estaba hablando con unas amigas de él e inventando personajes. También encontró allí a Elsa, su novia, y le dijo que si le gustaba la música y lo invitó a bailar. Ella lo acompañó a bailar y le recordaba ese disco que tanto le gustaba a él. Luego a Elsa se le olvidó la cartera en la silla y bailaron y luego ya al final ella en la casa con sudor se acuesta a dormir."
P028_MCC_NEUTRO_LIBRE,P028_MCC,"Alberto esperaba el fin de semana. Resulta que iba para la discoteca con unos amigos, se fue para la discoteca y encontró allí un aviso que no jefe ni reloj. Parece que que era lo mejor. Bueno entonces Alberto vio una unas amigas de él y de Mario, su amigo; estaban pasando muy bueno, estaban charlando y riendo y de pronto advirtió que en otra silla estaba sentada su esposa, su novia; la invitó a la pista a que bailaran, dejó el bolso en la en la la silla donde estaba, bailaron, se entretuvieron y más tarde salieron ya sudando y él se quedó dormido. "," Alberto esperaba el fin de semana. Resulta que iba para la discoteca con unos amigos. Se fue para la discoteca y encontró allí un aviso que ni jefe ni reloj. Parece que el micrófono hay que operarlo mejor. Bueno, entonces Alberto vio unas amigas de él y de Mario, su amigo. Estaban pasando muy bueno, estaban charlando y riendo. Y de pronto advirtió que en otra silla estaba sentada su esposa, su novia. La invitó a la pista que bailaran, dejó el bolso en la silla donde estaba. Bailaron, se entretuvieron y más tarde salieron ya sudando y él se quedó dormido."
P029_JFMG_NEUTRO_LIBRE,P029_JFMG,"Bueno. Alberto tenía su día preferido, fue a la discoteca, allí lo aguardaban sus amigos. En medio de sus amigos encontró a la novia que se divertía con los amigos de Alberto, y él le preguntó si le gustaba la música ella le dijo por supuesto. Allí… en que ellos… todos se reúnen. Alberto se va para su casa. "," Bueno, Alberto tenía su día preferido. Fue a la discoteca. Allí lo aguardaban sus amigos. En medio de sus amigos encontró a la novia, que se divertía con los amigos de Alberto. Y él le preguntó si le gustaba la música. Ella le dijo, por supuesto. Allí. En que ellos. Todos se reúnen. Y Alberto se va para su casa."
